prep	abhaengigkeit	adversativ	adversativ komparativ	adversativ lokal	adversativ ziel	austausch	austausch regiert	beteiligung	bezugspunkt	bezugspunkt konditional	bezugspunkt lokal	bezugspunkt machtverhaeltnis	bezugspunkt regiert	bezugspunkt regiert lokal	bezugspunkt temporal	bezugspunkt temporal konditional	distributiv	grenze	indikator	indikator regiert	indikator temporal	komparativ	konditional	konditional beteiligung	konditional bezugspunkt	konditional lokal	konditional modal	konditional regiert	konditional restriktiv	konditional temporal	korrespondenz	lokal	lokal zuordnung	machtverhaeltnis	machtverhaeltnis konditional	machtverhaeltnis regiert	masangabe	modal	modal konditional	modal lokal	modal temporal	modal ueber-_und_unterschreitung	modal zuordnung	quelle	rangfolge	realisation	realisation regiert	regiert	regiert adversativ	regiert adversativ ziel	regiert austausch	regiert bezugspunkt	regiert konditional	regiert konditional bezugspunkt	regiert korrespondenz	regiert lokal	regiert machtverhaeltnis	regiert rangfolge	regiert temporal	regiert thema	regiert thema bezugspunkt	regiert ueber-_und_unterschreitung	regiert ziel	regiert zuordnung	restriktiv	restriktiv zuordnung	restriktiv zuordnung ziel	stellungnahme	temporal	temporal konditional	temporal lokal	temporal machtverhaeltnis	temporal machtverhaeltnis konditional	thema	thema bezugspunkt	thema konditional	ueber-_und_unterschreitung	ueber-_und_unterschreitung lokal	ueber-_und_unterschreitung masangabe	ueber-_und_unterschreitung modal	vorgang	vorhandensein	ziel	ziel lokal	ziel regiert	ziel temporal	zuordnung	zuordnung bezugspunkt	zuordnung konditional	zuordnung lokal	zuordnung temporal	zuordnung temporal konditional	zuordnung ziel	zuordnung ziel regiert	zustand	zustand regiert
bei	12	0	0	0	0	0	0	0	395	4	0	0	2	1	34	2	0	30	6	0	1	0	375	0	0	1	0	0	0	0	0	423	0	0	0	0	0	164	29	0	1	0	0	0	0	0	0	88	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	4	1	0	244	213	2	0	0	0	0	0	0	0	0	0	0	0	42	1	1	1	291	1	74	0	7	1	3	5	0	0
gegen	0	610	1	1	53	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	59	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	493	67	25	0	0	0	1	4	0	0	0	0	0	0	61	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0
in	0	0	0	0	0	4	17	0	46	0	0	0	0	0	6	0	6	0	7	1	0	0	19	0	0	0	0	3	0	0	0	912	0	0	0	0	0	98	0	2	8	0	0	3	0	16	1	56	0	0	11	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	73	2
ohne	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	1	0	0	15	0	2	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ueber	0	0	0	0	0	0	0	0	456	0	1	3	0	0	0	0	0	0	0	0	0	0	58	0	36	0	0	0	0	1	0	414	0	25	0	0	7	281	0	27	0	0	0	0	7	0	0	147	0	0	0	210	18	60	0	6	27	1	6	121	29	0	0	0	0	0	0	0	23	0	0	0	0	378	76	1	121	3	1	1	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0
unter	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	2	203	0	0	0	1171	1	840	22	53	0	939	0	1	0	37	1	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	0	0	0	2	0	97	2	0	0	0	980	0	0	0	0	0	0	0	0	0	1738	0	0	0	0	0	0	0	22	0
wegen	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	2633	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
