gegen,adversativ,610,regiert adversativ,493,ziel,178,lokal,105,temporal,92
unter,zuordnung,1738,lokal,1171,ueber-_und_unterschreitung,980,modal,939,machtverhaeltnis,840
bei,lokal,423,bezugspunkt,395,konditional,375,zuordnung,291,temporal,244
wegen,konditional,2633,konditional bezugspunkt,222,bezugspunkt,78,prep_meaning_parent,1
ueber,bezugspunkt,456,lokal,414,thema,378,modal,281,regiert bezugspunkt,210
ohne,modal,403,vorhandensein,352,konditional,244,beteiligung,48,restriktiv,24
in,lokal,912,temporal,379,modal,98,zuordnung,96,zustand,73
