prep	konditional restriktiv	bezugspunkt temporal	konditional beteiligung	machtverhaeltnis konditional	regiert machtverhaeltnis	ueber-_und_unterschreitung masangabe	zuordnung ziel	korrespondenz	regiert ziel	regiert thema bezugspunkt	lokal	bezugspunkt konditional	bezugspunkt lokal	thema	regiert	regiert adversativ ziel	regiert rangfolge	restriktiv	bezugspunkt temporal konditional	ueber-_und_unterschreitung modal	adversativ	temporal machtverhaeltnis konditional	lokal zuordnung	restriktiv zuordnung	vorgang	modal zuordnung	vorhandensein	zuordnung	bezugspunkt	realisation regiert	modal	ziel lokal	modal ueber-_und_unterschreitung	machtverhaeltnis regiert	distributiv	regiert zuordnung	machtverhaeltnis	austausch regiert	regiert lokal	modal temporal	zustand regiert	regiert adversativ	grenze	konditional	regiert austausch	ueber-_und_unterschreitung lokal	thema konditional	zuordnung lokal	regiert temporal	konditional regiert	adversativ lokal	regiert konditional	adversativ komparativ	rangfolge	indikator	temporal konditional	prep_meaning_parents	temporal	konditional lokal	indikator regiert	ziel regiert	modal konditional	ziel temporal	realisation	bezugspunkt regiert lokal	bezugspunkt regiert	thema bezugspunkt	stellungnahme	temporal machtverhaeltnis	komparativ	zuordnung konditional	quelle	restriktiv zuordnung ziel	indikator temporal	temporal lokal	bezugspunkt machtverhaeltnis	regiert ueber-_und_unterschreitung	regiert thema	zuordnung temporal konditional	regiert konditional bezugspunkt	zustand	regiert bezugspunkt	ueber-_und_unterschreitung	ziel	prep_meaning_parent	beteiligung	konditional bezugspunkt	regiert korrespondenz	konditional temporal	konditional modal	modal lokal	zuordnung bezugspunkt	masangabe	zuordnung temporal	zuordnung ziel regiert	abhaengigkeit	adversativ ziel	austausch
gegen	0	0	0	0	0	0	0	59	61	0	105	0	0	0	20	67	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	493	0	0	25	0	0	0	0	0	1	0	1	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	178	1	0	0	1	0	0	0	0	0	0	0	0	53	60
unter	0	0	0	22	0	0	0	0	0	0	1171	0	0	0	39	0	0	0	0	0	0	2	1	0	0	1	0	1738	0	0	939	0	37	53	0	18	840	0	0	0	0	0	0	194	0	0	0	0	0	203	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	1	0	0	0	22	0	980	0	1	3	0	0	0	2	1	0	0	0	0	0	0	0
bei	0	34	0	0	0	0	3	0	0	0	423	4	0	0	88	0	0	0	2	0	0	0	0	4	0	0	0	291	395	0	164	1	0	0	0	0	0	0	5	1	0	0	30	375	0	0	0	0	2	0	0	0	0	0	6	213	0	244	1	0	1	29	1	0	1	2	0	0	0	0	74	0	1	1	2	0	0	0	1	0	0	0	0	42	1	0	0	0	0	0	0	1	0	7	5	12	0	0
wegen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	222	0	0	0	0	0	0	0	0	0	0	0
ueber	0	0	0	0	27	1	0	0	0	29	414	0	1	378	147	0	1	0	0	1	0	0	0	0	0	0	0	8	456	0	281	0	0	0	0	0	25	0	6	0	0	0	0	58	0	3	1	2	6	0	0	18	0	7	0	0	0	23	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	3	0	121	0	60	0	210	121	0	1	0	36	0	1	0	27	0	7	0	0	0	0	0
ohne	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	0	0	0	0	0	0	2	0	352	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	0	0	15	0	0	0	0	0	0	0	0
in	0	6	0	0	0	0	0	0	0	0	912	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	96	46	1	98	0	0	0	6	0	0	17	13	8	2	0	0	19	11	0	0	0	0	3	0	0	0	0	7	0	1	379	0	1	0	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4
